Job Description Index,Company Name,Position Title,Top_1_Resume_ID,Top_1_Similarity,Top_2_Resume_ID,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
1,Google,Sales Specialist,25162378,0.8709798,18208580,0.8652656,69181350,0.8539752
2,Apple,Apple Solutions Consultant,13386301,0.810603,59696315,0.8010858,28939941,0.7950779
3,Netflix,Licensing Coordinator - Consumer Products,25162378,0.8775284,28939941,0.8744066,59696315,0.86995435
4,Robert Half,Web Designer,12144825,0.85472107,33141415,0.8362967,83816738,0.82127255
5,TrackFive,Web Developer,28126340,0.7993527,29134721,0.79263675,99124477,0.7891638
6,DesignUps,Frontend Web Developer,33141415,0.73216414,26790545,0.7205715,62994611,0.7044827
7,"Equisolve, Inc.",Remote Website Designer,26790545,0.88762295,15602094,0.87177026,18795567,0.86521745
8,Zander Insurance Agency,Web Designer,80679862,0.87873054,29825044,0.8567773,28939941,0.8483741
9,Tuff,Web Designer,26790545,0.8573227,29134721,0.8550581,29196643,0.8508607
10,General Dynamics Information Technology,SR. Web Designer,33141415,0.8178,12144825,0.79879224,85101052,0.77357876
11,Sony Music Entertainment,Web Developer,27419236,0.82514364,26790545,0.8166997,12144825,0.7993965
12,Snapshot Interactive,Web Developer,21297521,0.80068016,62994611,0.8000393,29134721,0.7973354
13,Deloitte,Senior UI Designer,26790545,0.8503249,18795567,0.8434293,37664296,0.8058854
14,Themesoft Inc,Wordpress Web Developer,85101052,0.8405967,62994611,0.8385612,12144825,0.8153024
15,Western Governors University,UI Web Designer,18795567,0.8709892,26790545,0.8479028,37664296,0.83257174
16,Sedgwick,Senior Web Designer (REMOTE),18795567,0.842707,26790545,0.83033115,15602094,0.77636987
17,Ohio ENT & Allergy Physicians,Chief Executive Officer,28939941,0.8510001,18557164,0.8479302,99244405,0.8414431
18,Confidential Jobs,"Executive Vice President & Chief Executive Officer (CEO), Medical...",29926588,0.534512,21868149,0.51368207,54246169,0.5084504
19,RiverVista Health and Wellness,CEO,60624892,0.8748262,39970711,0.8607948,21796843,0.84134686
20,Salt Creek Capital,CEO,11653906,0.8223726,18636651,0.8067759,18208580,0.80581766
21,Ascend Innovations,"CEO, Positivly",11902276,0.88245595,25162378,0.88205254,18208580,0.8783435
22,ExecHQ,Chief Executive Officer - CEO Consultant,16237710,0.862273,60624892,0.836863,21796843,0.8349166
23,Confidential,Chief Executive Officer,60624892,0.8677974,12955994,0.8425354,39237915,0.8423529
