Company,Position,Top_1_Resume_ID,Top_1_Category,Top_1_Similarity,Top_2_Category,Top_2_Resume_ID,Top_3_Category,Top_2_Similarity,Top_3_Resume_ID,Top_3_Similarity
Google,sale specialist,17189156,BANKING,0.929099977016449,CONSULTANT,78016758,BPO,0.9244440793991089,13964744,0.9237380027770996
Apple,apple solution consultant,13386301,APPAREL,0.9434842467308044,CHEF,23591247,BANKING,0.935286819934845,17189156,0.935162365436554
Netflix,licensing coordinator consumer product,26278597,BUSINESS-DEVELOPMENT,0.9448290467262268,BUSINESS-DEVELOPMENT,13080868,SALES,0.9417251348495483,28867567,0.9402885437011719
Robert Half,web designer,33141415,CONSTRUCTION,0.922217607498169,INFORMATION-TECHNOLOGY,83816738,AVIATION,0.9063756465911865,12144825,0.9040939211845398
TrackFive,web developer,28126340,INFORMATION-TECHNOLOGY,0.9409081935882568,CONSULTANT,20314980,PUBLIC-RELATIONS,0.9406272768974304,26127853,0.9403308033943176
DesignUps,frontend web developer,33141415,CONSTRUCTION,0.8635783791542053,AGRICULTURE,62994611,DESIGNER,0.8532511591911316,26496059,0.8529799580574036
"Equisolve, Inc.",remote website designer,18795567,DESIGNER,0.9452374577522278,DESIGNER,26496059,DESIGNER,0.9448805451393127,26790545,0.9412949681282043
Zander Insurance Agency,web designer,26790545,DESIGNER,0.953211784362793,DIGITAL-MEDIA,80679862,DESIGNER,0.9512064456939697,26496059,0.9464858174324036
Tuff,web designer,29134721,SALES,0.9452536702156067,DIGITAL-MEDIA,80679862,DESIGNER,0.9431941509246826,26790545,0.9427709579467773
General Dynamics Information Technology,sr web designer,33141415,CONSTRUCTION,0.9179585576057434,DESIGNER,26790545,DESIGNER,0.9108061194419861,29524570,0.8973737955093384
Sony Music Entertainment,web developer,26790545,DESIGNER,0.9522305727005005,DIGITAL-MEDIA,18354623,CONSTRUCTION,0.9451317191123962,33141415,0.9449244141578674
Snapshot Interactive,web developer,29134721,SALES,0.933290421962738,AGRICULTURE,62994611,BPO,0.926114022731781,41152404,0.9254698753356934
Deloitte,senior ui designer,18795567,DESIGNER,0.9394665360450745,DESIGNER,25422388,DESIGNER,0.9312506914138794,37664296,0.9301499128341675
Themesoft Inc,wordpress web developer,12144825,AVIATION,0.9432345032691956,CONSTRUCTION,33141415,INFORMATION-TECHNOLOGY,0.9414733648300171,83816738,0.9375864267349243
Western Governors University,ui web designer,18795567,DESIGNER,0.9437565207481384,DESIGNER,42384185,DESIGNER,0.9356877207756042,26790545,0.9350831508636475
Sedgwick,senior web designer remote,26790545,DESIGNER,0.9051401019096375,DESIGNER,18795567,DESIGNER,0.895138680934906,34317538,0.8924408555030823
Ohio ENT & Allergy Physicians,chief executive officer,41910253,HEALTHCARE,0.9460574388504028,HR,32308556,TEACHER,0.9449751377105713,66683238,0.9404435753822327
Confidential Jobs,executive vice president chief executive officer ceo medical,50328713,ENGINEERING,0.7080375552177429,PUBLIC-RELATIONS,22455205,AVIATION,0.6971319913864136,24668861,0.6960293650627136
RiverVista Health and Wellness,ceo,33803142,HEALTHCARE,0.9622279405593872,BUSINESS-DEVELOPMENT,39237915,HEALTHCARE,0.9607589840888977,60624892,0.960128664970398
Salt Creek Capital,ceo,11653906,HEALTHCARE,0.9293304085731506,PUBLIC-RELATIONS,11902276,BANKING,0.9287891387939453,18208580,0.9262903332710266
Ascend Innovations,ceo positivly,17818707,BANKING,0.9581780433654785,BANKING,25162378,PUBLIC-RELATIONS,0.9574009776115417,11902276,0.9573480486869812
ExecHQ,chief executive officer ceo consultant,18784594,HEALTHCARE,0.9339995384216309,HR,34554248,ADVOCATE,0.9316401481628418,19108760,0.9302515983581543
Confidential,chief executive officer,33803142,HEALTHCARE,0.9601395130157471,HEALTHCARE,34962725,HEALTHCARE,0.956616222858429,16121387,0.9547356367111206
On Time Talent Solutions,chief executive officer healthcare columbus,60624892,HEALTHCARE,0.948917806148529,HEALTHCARE,17624934,ADVOCATE,0.9447854161262512,19108760,0.9441158175468445
Vistage Worldwide,ceo coach,66683238,TEACHER,0.9298964738845825,HR,18297650,BANKING,0.9261002540588379,17189156,0.9255568385124207
HSBC,assistant vice president premier relationship manager,24967652,FINANCE,0.9560665488243103,BANKING,33370664,HR,0.9514263272285461,80162314,0.9509621858596802
Owner Actions,digital marketing specialist,85421438,HEALTHCARE,0.9546750783920288,BUSINESS-DEVELOPMENT,15423153,DIGITAL-MEDIA,0.9532289505004883,59011090,0.9517519474029541
OhioHealth,senior marketing specialist,68781345,BANKING,0.948186993598938,ARTS,21867728,DIGITAL-MEDIA,0.9398873448371887,22706174,0.9386100769042969
Express,performance marketing specialist paid medium,28939941,ACCOUNTANT,0.9574981331825256,DIGITAL-MEDIA,80679862,DIGITAL-MEDIA,0.955679714679718,16276121,0.9549162983894348
Dispatch,software engineer reno nv,33141415,CONSTRUCTION,0.9278731346130371,AGRICULTURE,62994611,SALES,0.9259763956069946,29134721,0.9251502752304077
Epic,software engineer,12011623,ENGINEERING,0.9442505240440369,ENGINEERING,11890896,ADVOCATE,0.9432792067527771,11963737,0.9420112371444702
Revature LLC,entry level software engineer,66683238,TEACHER,0.9375710487365723,ADVOCATE,37348041,ADVOCATE,0.9365350604057312,29926588,0.9332407116889954
Light & Wonder,associate software engineering,41152404,BPO,0.9449283480644226,ENGINEERING,12472574,ENGINEERING,0.942451000213623,13149176,0.9408448934555054
Hughes Private Capital LLC,software engineer,62994611,AGRICULTURE,0.9659255743026733,INFORMATION-TECHNOLOGY,36856210,CONSULTANT,0.9651911854743958,11020140,0.9639508128166199
Hired,software engineer,62994611,AGRICULTURE,0.9371776580810547,INFORMATION-TECHNOLOGY,26746496,INFORMATION-TECHNOLOGY,0.9355611205101013,16186411,0.9344280958175659
Blockchains,software engineer javascript backend,62994611,AGRICULTURE,0.9589298963546753,BPO,41152404,CONSULTANT,0.9521198272705078,11020140,0.9518870711326599
"Vitalwerks Internet Solutions, LLC",senior software engineer,12011623,ENGINEERING,0.93619304895401,DESIGNER,29524570,INFORMATION-TECHNOLOGY,0.9342013001441956,70089206,0.93315589427948
Germer International,warehouse manager,28628090,ENGINEERING,0.9618947505950928,BPO,11183737,AVIATION,0.9600386023521423,36252245,0.9594032764434814
The Coca Cola Company,warehouse manager,17876954,AVIATION,0.9260700941085815,AVIATION,36252245,ENGINEERING,0.9241647124290466,28628090,0.9207574725151062
Coca-Cola Consolidated,warehouse manager iv,34304175,ARTS,0.9684232473373413,BPO,11183737,AVIATION,0.9665096998214722,16279537,0.965266227722168
Graham Packaging,warehouse manager,34304175,ARTS,0.9359837770462036,AVIATION,24544244,BPO,0.9326374530792236,11183737,0.9277366995811462
Floor & Decor,warehouse supervisor,18155310,HR,0.9571985006332397,ARTS,34304175,BPO,0.9545282125473022,11183737,0.9525635242462158
Norwalk Furniture & Design,warehouse manager,19147947,SALES,0.9343128800392151,SALES,17704246,FITNESS,0.9328030347824097,28321954,0.9315115809440613
Standlee Premium Western Forage,warehouse management specialist,11130200,FITNESS,0.9009620547294617,SALES,19147947,AVIATION,0.8977891206741333,17655479,0.8904520869255066
Lansing Building Products,warehouse manager lexington ky,28321954,FITNESS,0.9649060368537903,SALES,17704246,AVIATION,0.9647575616836548,17655479,0.963323175907135
AVI Foodsystems,warehouse supervisor,36252245,AVIATION,0.9527318477630615,AVIATION,17876954,AVIATION,0.9526752829551697,16449694,0.9466032981872559
NASB Financial Inc.,bank teller,64471954,HEALTHCARE,0.9496306777000427,HEALTHCARE,13352113,BANKING,0.9416475892066956,17189156,0.9402488470077515
Citizens Bank & Trust,part time bank teller financial service representative,24544244,AVIATION,0.951077938079834,BANKING,17189156,HEALTHCARE,0.9501816034317017,13352113,0.9495899081230164
The Bank of Grain Valley,bank teller,54067174,ADVOCATE,0.8848161697387695,HEALTHCARE,15636923,SALES,0.8814519643783569,37360517,0.8808386325836182
Landmark National Bank,full time teller,15337481,ADVOCATE,0.9562414884567261,ADVOCATE,13909762,BANKING,0.9541108012199402,36905896,0.9533650279045105
Bank Of America,bank teller,24544244,AVIATION,0.9322811961174011,HR,28808263,BANKING,0.928790807723999,11262933,0.9272435307502747
Central Bank of the Midwest,seasonal teller,34594746,HEALTHCARE,0.9567132592201233,AUTOMOBILE,14508237,SALES,0.9486514925956726,14267489,0.946982741355896
US Bank,bank teller,24544244,AVIATION,0.8988288044929504,CHEF,11444536,HR,0.8958381414413452,28808263,0.8949098587036133
The Bank of Grain Valley -,bank teller,28808263,HR,0.9285432696342468,PUBLIC-RELATIONS,10554045,HEALTHCARE,0.9198821783065796,64471954,0.9196277856826782
"J.B. Hunt Transport Services, Inc.",sale executive,24544244,AVIATION,0.9579973220825195,SALES,18368613,APPAREL,0.9577680826187134,17714174,0.9559643268585205
FIS,sale executive iii client management,18208580,BANKING,0.9655712246894836,BUSINESS-DEVELOPMENT,27850777,PUBLIC-RELATIONS,0.9629185199737549,11902276,0.9600397348403931
AC Hotel Columbus Downtown,sale manager,24544244,AVIATION,0.9464778900146484,ADVOCATE,11773767,PUBLIC-RELATIONS,0.9446800947189331,49119887,0.9436834454536438
SPECTRUM,account executive,24544244,AVIATION,0.9721535444259644,ADVOCATE,35474904,BANKING,0.9651556611061096,17189156,0.9651036858558655
